Responsible,Confirmed By,Confirmed At,External Case ID,Organization,Country,No. of Machines,Smartflow Last Event,Pleteo Last Event,Case Status,Investigation Status,Investigator
Luis Indriago,luisindriago@ruvixx.com,2026-08-20 14:55:19,3512725#1,Veintediezz,Mexico,3,2026-08-13,2022-12-09,Below Threshold,06. Launched,
Luis Indriago,luisindriago@ruvixx.com,2026-08-20 14:55:19,1025066#1,Builder Group,Mexico,3,2026-08-14,2022-11-25,Pre-Qualified,06. Launched,
Luis Indriago,luisindriago@ruvixx.com,2026-08-20 14:55:19,1996126#1,Simoné,Mexico,2,2026-08-10,2023-01-10,Below Threshold,06. Launched,
Luis Indriago,luisindriago@ruvixx.com,2026-08-20 14:55:19,3865120#1,Dinamita,Mexico,3,2026-08-13,2023-03-31,Below Threshold,06. Launched,
Luis Indriago,luisindriago@ruvixx.com,2026-08-20 14:55:19,424044#2,Euro Estudios,Mexico,2,2026-05-15,2022-12-30,Below Threshold,06. Launched,
Luis Indriago,luisindriago@ruvixx.com,2026-08-20 14:55:19,4247616#1,Iprodisa,Mexico,1,2025-10-25,2022-06-02,Pre-Qualified,06. Launched,
Luis Indriago,luisindriago@ruvixx.com,2026-08-20 14:55:19,2405100#1,AO arquitectos,Mexico,3,2026-08-06,2023-05-23,Unqualified,06. Launched,
Luis Indriago,luisindriago@ruvixx.com,2026-08-20 14:55:19,3880965#1,Kedge,Mexico,3,2025-09-08,2023-01-04,Aborted (Closed),06. Launched,
Luis Indriago,luisindriago@ruvixx.com,2026-08-20 14:55:19,1913587#1,Grupoepico,Mexico,2,2026-07-27,2024-01-26,Below Threshold,06. Launched,
Luis Indriago,luisindriago@ruvixx.com,2026-08-20 14:55:19,1794728#1,"La Villa Nueva Habitat, S.A. De C.V.",Mexico,3,2026-07-30,2024-05-13,Below Threshold,06. Launched,
Luis Indriago,luisindriago@ruvixx.com,2026-08-20 14:55:19,3467324#2,Qsolutions,Mexico,1,2025-10-08,2023-09-23,Pre-Qualified,06. Launched,
Luis Indriago,luisindriago@ruvixx.com,2026-08-20 14:55:19,3870694#1,Once Iluminación,Mexico,3,2026-08-05,2024-09-12,Below Threshold,06. Launched,
Luis Indriago,luisindriago@ruvixx.com,2026-08-20 14:55:19,1329538#1,"Taller AR3, S.A. de C.V.",Mexico,5,2026-07-09,2024-09-03,Below Threshold,06. Launched,
Luis Indriago,luisindriago@ruvixx.com,2026-08-20 14:55:19,4183118#1,Prodeqro,Mexico,4,2026-03-31,2024-05-20,Pre-Qualified,06. Launched,
Luis Indriago,luisindriago@ruvixx.com,2026-08-20 14:55:19,2064009#1,Muralla,Mexico,3,2026-06-22,2024-09-16,Below Threshold,06. Launched,
Luis Indriago,luisindriago@ruvixx.com,2026-08-20 14:55:19,2127288#1,Ilhogare,Mexico,1,2026-06-24,2024-09-04,Pre-Qualified,06. Launched,
Luis Indriago,luisindriago@ruvixx.com,2026-08-20 14:55:19,1947957#1,Hansi,Mexico,2,2026-07-24,2024-11-07,Pre-Qualified,06. Launched,
Luis Indriago,luisindriago@ruvixx.com,2026-08-20 14:55:19,1348817#1,Paisajismoagricultura,Mexico,2,2026-05-12,2024-10-01,Below Threshold,06. Launched,
Luis Indriago,luisindriago@ruvixx.com,2026-08-20 14:55:19,1595474#1,Quinto Estudio,Mexico,4,2026-08-12,2025-02-10,Below Threshold,06. Launched,
Luis Indriago,luisindriago@ruvixx.com,2026-08-20 14:55:19,3471434#1,Ixpaliamx,Mexico,1,2026-03-26,2024-08-29,Pre-Qualified,06. Launched,
Luis Indriago,luisindriago@ruvixx.com,2026-08-20 14:55:19,3564468#1,ACERZA,Mexico,4,2026-07-03,2025-01-18,Unqualified,06. Launched,
Luis Indriago,luisindriago@ruvixx.com,2026-08-20 14:55:19,1874635#1,Bepercepto,Mexico,2,2026-06-07,2024-12-28,Below Threshold,06. Launched,
Luis Indriago,luisindriago@ruvixx.com,2026-08-20 14:55:19,1937259#1,Constructoraterco,Mexico,2,2026-08-08,2025-03-31,Below Threshold,06. Launched,
Luis Indriago,luisindriago@ruvixx.com,2026-08-20 14:55:19,2427459#1,Senstar,Mexico,2,2026-08-13,2025-05-10,Pre-Qualified,06. Launched,
Luis Indriago,luisindriago@ruvixx.com,2026-08-20 14:55:19,3052137#1,Studio43arquitectos,Mexico,2,2026-07-30,2025-04-21,Below Threshold,06. Launched,
Luis Indriago,luisindriago@ruvixx.com,2026-08-20 14:55:19,1694509#1,Decova Interiorismo,Mexico,4,2026-08-12,2025-04-28,Below Threshold,06. Launched,
Luis Indriago,luisindriago@ruvixx.com,2026-08-20 14:55:19,2165005#1,Mineriayenergia,Mexico,2,2026-08-10,2025-05-29,Unqualified,06. Launched,
Luis Indriago,luisindriago@ruvixx.com,2026-08-20 14:55:19,3460136#1,Baja Call Center Inc,Mexico,2,2026-08-14,2025-05-25,Unqualified,06. Launched,
Luis Indriago,luisindriago@ruvixx.com,2026-08-20 14:55:19,3533413#1,PIXO,Mexico,2,2026-08-13,2025-05-23,Unqualified,06. Launched,
Luis Indriago,luisindriago@ruvixx.com,2026-08-20 14:55:19,3456379#1,Aqusalbercas,Mexico,2,2026-08-11,2025-05-22,Unqualified,06. Launched,
Luis Indriago,luisindriago@ruvixx.com,2026-08-20 14:55:19,2077950#1,VIVECONSA,Mexico,3,2026-07-30,2025-05-22,Below Threshold,06. Launched,
Luis Indriago,luisindriago@ruvixx.com,2026-08-20 14:55:19,2954712#1,+ Tablaroca,Mexico,2,2026-07-30,2025-05-19,Unqualified,06. Launched,
Luis Indriago,luisindriago@ruvixx.com,2026-08-20 14:55:19,1192870#1,Promesha,Mexico,2,2026-08-17,2025-05-17,Pre-Qualified,06. Launched,
Luis Indriago,luisindriago@ruvixx.com,2026-08-20 14:55:19,3581512#1,Gavilancdmx,Mexico,3,2026-08-15,2025-05-28,Pre-Qualified,06. Launched,
Luis Indriago,luisindriago@ruvixx.com,2026-08-20 14:55:19,2039148#1,Mafra Desarrolladora,Mexico,2,2026-07-23,2025-06-11,Unqualified,06. Launched,
Luis Indriago,luisindriago@ruvixx.com,2026-08-20 14:55:19,3444653#1,Proyectosid,Mexico,2,2026-07-10,2025-05-29,Unqualified,06. Launched,
Luis Indriago,luisindriago@ruvixx.com,2026-08-20 14:55:19,3052132#1,modifica,Mexico,2,2026-07-12,2025-05-22,Unqualified,06. Launched,
Luis Indriago,luisindriago@ruvixx.com,2026-08-20 14:55:19,3405921#1,Sicaconexiones,Mexico,2,2026-06-24,2025-05-08,Below Threshold,06. Launched,
Luis Indriago,luisindriago@ruvixx.com,2026-08-20 14:55:19,3436882#1,Interconceptos,Mexico,2,2026-05-31,2025-04-11,Below Threshold,06. Launched,
Luis Indriago,luisindriago@ruvixx.com,2026-08-20 14:55:19,3254867#1,ESLOVENTANAS SA de CV,Mexico,3,2026-06-24,2025-06-13,Below Threshold,06. Launched,Ximena De Ariño
Luis Indriago,luisindriago@ruvixx.com,2026-08-20 14:55:19,1042449#1,Guanajuato Tooling,Mexico,2,2026-02-26,2025-02-12,Pre-Qualified,06. Launched,
Luis Indriago,luisindriago@ruvixx.com,2026-08-20 14:55:19,2343967#1,Construgranja,Mexico,3,2026-05-20,2025-05-22,Below Threshold,06. Launched,
Luis Indriago,luisindriago@ruvixx.com,2026-08-20 14:55:19,3880961#1,Cerogroup,Mexico,2,2026-03-18,2025-04-06,Below Threshold,06. Launched,
Luis Indriago,luisindriago@ruvixx.com,2026-08-20 14:55:19,3410652#1,Ap4arquitectos,Mexico,2,2026-03-19,2025-04-04,Below Threshold,06. Launched,
Luis Indriago,luisindriago@ruvixx.com,2026-08-20 14:55:19,1658516#1,"Von Wobeser y Sierra, S.C.",Mexico,3,2025-10-13,2024-10-14,Aborted (Closed),06. Launched,
Luis Indriago,luisindriago@ruvixx.com,2026-08-20 14:55:19,3888536#1,Oficinas CasCas Soluciones,Mexico,2,2026-04-15,2025-05-29,Unqualified,06. Launched,
Luis Indriago,luisindriago@ruvixx.com,2026-08-20 14:55:19,2333781#1,Casas Guri,Mexico,3,2026-03-03,2025-04-18,Below Threshold,06. Launched,
Luis Indriago,luisindriago@ruvixx.com,2026-08-20 14:55:19,2476724#1,Industrias Cappely,Mexico,2,2025-07-11,2024-11-01,Aborted (Closed),06. Launched,
Luis Indriago,luisindriago@ruvixx.com,2026-08-20 14:55:19,3269662#1,Capitalica,Mexico,1,2025-08-07,2024-11-21,Pre-Qualified,06. Launched,
Luis Indriago,luisindriago@ruvixx.com,2026-08-20 14:55:19,3410651#1,Tucasaencuernavaca,Mexico,2,2026-01-10,2025-05-29,Aborted (Closed),06. Launched,
Luis Indriago,luisindriago@ruvixx.com,2026-08-20 14:55:19,2477659#1,Techcorr Mexico (TECNOLOGIA SOLAR DE MEXICO S.A. DE C.V.),Mexico,2,2026-01-06,2025-05-27,Aborted (Closed),06. Launched,
Luis Indriago,luisindriago@ruvixx.com,2026-08-20 14:55:19,2476725#1,PLATAFORMA DP,Mexico,2,2026-01-22,2025-05-22,Aborted (Closed),06. Launched,
Luis Indriago,luisindriago@ruvixx.com,2026-08-20 14:55:19,3897600#1,Cocegro,Mexico,2,2025-10-08,2025-02-25,Aborted (Closed),06. Launched,
Luis Indriago,luisindriago@ruvixx.com,2026-08-20 14:55:19,1674741#1,Ingencer,Argentina,1,2026-01-26,2025-06-12,Aborted (Closed),02. Investigator - Qualified,Noel Valery
